Time;Packets;ED;CD;LLE;SampEn;rec;det;ent;trend;lam;label
00:00:15;1198;22;1.06177563378;0.000422910641738;0.0270439851101;0.000849617672048;1.0;-0.0;0.0;0.0;normal
00:01:00;1585;22;1.64878989543;0.000528607389905;0.0334383046931;0.000639386189258;1.0;-0.0;0.0;0.0;normal
00:01:45;1560;22;1.71000604603;0.000338587769679;0.0420804659383;0.000649772579597;1.0;-0.0;0.0;0.0;normal
00:02:30;1491;22;1.58973688371;0.000141246633138;0.0472303825718;0.000680272108844;1.0;-0.0;0.0;0.0;normal
00:03:15;1440;22;1.48026345082;0.00133481509614;0.0384815440947;0.000704721634954;1.0;-0.0;0.0;0.0;normal
00:04:00;1347;22;1.61318619281;0.000773830119951;0.0429715103716;0.000754147812971;1.0;-0.0;0.0;0.0;normal
00:04:45;1272;22;1.54966958002;0.00049695967812;0.0381204433876;0.000799360511591;1.0;-0.0;0.0;0.0;normal
00:05:30;1211;22;1.5515075756;0.000683522764512;0.0372951527523;0.000840336134454;1.0;-0.0;0.0;0.0;normal
00:06:15;1117;22;2.51240833644;0.000281261060448;0.0522703834473;0.000912408759124;1.0;-0.0;0.0;0.0;normal
00:07:00;1076;22;2.31734036758;0.000656406654263;0.0448785089957;0.000947867298578;1.0;-0.0;0.0;0.0;normal
04:38:30;1050;22;1.59815796647;-0.00215344966038;0.0554064227187;0.000971817298348;1.0;-0.0;0.0;0.0;normal
04:40:00;1071;22;1.69258927711;0.000304901086505;0.0501302764956;0.000952380952381;1.0;-0.0;0.0;0.0;normal
04:40:45;1249;22;1.56331130192;-0.000327888653477;0.0572067723871;0.000814332247557;1.0;-0.0;0.0;0.0;normal
04:41:30;1240;22;1.51601953082;-0.00311059268308;0.0509578671639;0.000820344544709;1.0;-0.0;0.0;0.0;normal
04:42:15;1426;22;1.61990449533;-0.000221427419352;0.0540132086756;0.000711743772242;1.0;-0.0;0.0;0.0;normal
04:43:00;1591;22;1.13690096586;0.00112269818695;0.0256110979325;0.000636942675159;1.0;-0.0;0.0;0.0;normal
04:43:45;1613;22;1.30511805535;-0.00299253643301;0.0310117357757;0.000628140703518;1.0;-0.0;0.0;0.0;normal
04:44:30;1632;22;1.28048441735;-0.00148504088516;0.0360442779253;0.000620732464308;1.0;-0.0;0.0;0.0;normal
04:45:15;1618;22;1.30858711069;0.0022198133469;0.0366777802296;0.000626174076393;1.0;-0.0;0.0;0.0;normal
04:46:00;1564;22;1.86208849556;0.00210014625019;0.0667064187372;0.000648088139987;1.0;-0.0;0.0;0.0;normal
04:46:45;1494;22;1.84711512539;0.000426855649362;0.0701252302741;0.000678886625933;1.0;-0.0;0.0;0.0;normal
04:47:30;1461;22;2.28840777455;0.000108762241323;0.0908927736545;0.000694444444444;1.0;-0.0;0.0;0.0;normal
04:48:15;1419;22;1.95836717981;0.000533963523929;0.061038942228;0.00071530758226;1.0;-0.0;0.0;0.0;normal
04:49:00;1374;22;1.82973715472;0.000592736901233;0.0519406545149;0.000739098300074;1.0;-0.0;0.0;0.0;normal
04:49:45;1238;22;1.57240244655;0.000774514041083;0.0493349373818;0.000821692686935;1.0;-0.0;0.0;0.0;normal
04:50:30;1145;22;1.76933765786;0.00119431111056;0.0805084683572;0.000889679715302;1.0;-0.0;0.0;0.0;normal
