@relation anomalous-traffic

@attribute ts numeric
@attribute pkts numeric
@attribute cd numeric
@attribute lle numeric
@attribute sampen numeric
@attribute rec numeric
@attribute det numeric
@attribute ent numeric
@attribute trend numeric
@attribute lam numeric
@attribute class {normal, anomaly}

@data

1276398066.04,243,2.12924470107,0.0,0.028884617646,0.0045045045045,1.0,-0.0,0.0,0.0,normal
1276398111.04,229,2.3977812335,0.0,0.037586040902,0.00480769230769,1.0,-0.0,0.0,0.0,normal
1276398156.04,223,2.10677173898,0.0,0.0488225618271,0.0049504950495,1.0,-0.0,0.0,0.0,normal
1276398201.04,215,1.27474785751,0.0,0.0185560753947,0.00515463917526,1.0,-0.0,0.0,0.0,normal
1276398246.04,217,1.89695593518,0.0,0.0465987130358,0.00510204081633,1.0,-0.0,0.0,0.0,normal
1276398291.04,225,1.63494523146,0.0,0.0326192473667,0.00490196078431,1.0,-0.0,0.0,0.0,normal
1276398336.04,337,3.02716910961,0.0,0.0390638600441,0.00316455696203,1.0,-0.0,0.0,0.0,normal
1276398381.04,509,1.92558206358,0.0,0.193012877617,0.00204918032787,1.0,-0.0,0.0,0.0,normal
1276398426.04,687,2.093605936,0.0,0.126978112882,0.0015015015015,1.0,-0.0,0.0,0.0,normal
1276398471.04,828,2.08184608098,0.0,0.127716647378,0.00123915737299,1.0,-0.0,0.0,0.0,normal
1276398516.04,750,2.04026759797,0.0,0.0744759693725,0.00137174211248,1.0,-0.0,0.0,0.0,normal
1276398561.04,627,2.09575745845,0.0,0.0659954617487,0.0016501650165,1.0,-0.0,0.0,0.0,normal
1276398606.04,445,2.14132556032,0.0,0.053889649333,0.00235849056604,1.0,-0.0,0.0,0.0,normal
1276398651.04,293,2.6249802846,0.0,0.0591343865771,0.00367647058824,1.0,-0.0,0.0,0.0,normal
1276398696.04,253,2.2832936085,0.0,0.0569624366076,0.00431034482759,1.0,-0.0,0.0,0.0,normal
1276398741.04,216,1.89052162337,0.0,0.0348394851616,0.00512820512821,1.0,-0.0,0.0,0.0,normal
1276398786.04,206,1.74008453332,0.0,0.0402173750082,0.00540540540541,1.0,-0.0,0.0,0.0,normal
1276398831.04,234,1.93322678269,0.0,0.0312000523895,0.00469483568075,1.0,-0.0,0.0,0.0,normal
1276398876.04,250,2.15817582388,0.0,0.0308674877694,0.00436681222707,1.0,-0.0,0.0,0.0,normal
1276398921.04,241,2.96131100065,0.0,0.0484467550043,0.00454545454545,1.0,-0.0,0.0,0.0,normal
1276398966.04,251,1.88949866682,0.0,0.0260325413856,0.00434782608696,1.0,-0.0,0.0,0.0,normal
1276399011.04,240,2.58714545664,0.0,0.0303937157386,0.00456621004566,1.0,-0.0,0.0,0.0,normal
1276399056.04,320,2.93683790589,0.0,0.0632154041019,0.00334448160535,1.0,-0.0,0.0,0.0,normal
1276399101.04,339,2.28850514812,0.0,0.0342359440561,0.00314465408805,1.0,-0.0,0.0,0.0,normal
1276399146.04,380,3.03561545433,0.0,0.0459208513276,0.00278551532033,1.0,-0.0,0.0,0.0,normal
1276399191.04,390,2.71394987544,0.0,0.0685138837768,0.00271002710027,1.0,-0.0,0.0,0.0,normal
1276399236.04,307,2.25509027028,0.0,0.0302110929376,0.0034965034965,1.0,-0.0,0.0,0.0,normal
1276399281.04,292,2.38657534302,0.0,0.0316145831601,0.00369003690037,1.0,-0.0,0.0,0.0,normal
1276399326.04,243,1.71916048826,0.0,0.0232923599612,0.0045045045045,1.0,-0.0,0.0,0.0,normal
1276399371.04,209,1.90405048891,0.0,0.0549931601238,0.00531914893617,1.0,-0.0,0.0,0.0,normal
1276399416.04,217,1.77464724008,0.0,0.0276973472735,0.00510204081633,1.0,-0.0,0.0,0.0,normal
1276399461.04,226,1.9195435471,0.0,0.0388803309397,0.00487804878049,1.0,-0.0,0.0,0.0,normal
1276399506.04,213,1.6386667958,0.0,0.060516648063,0.00520833333333,1.0,-0.0,0.0,0.0,normal
1276399551.04,223,2.34392298992,0.0,0.0433666874344,0.0049504950495,1.0,-0.0,0.0,0.0,normal
1276399596.04,234,1.8660707783,0.0,0.0269482572707,0.00469483568075,1.0,-0.0,0.0,0.0,normal
1276399641.04,205,2.22195979854,0.0,0.0594639323958,0.0054347826087,1.0,-0.0,0.0,0.0,normal
1276399686.04,235,2.33953373808,0.0,0.0357986328168,0.00467289719626,1.0,-0.0,0.0,0.0,normal
1276399731.04,245,1.68078473039,0.0,0.0256558733441,0.00446428571429,1.0,-0.0,0.0,0.0,normal
1276399776.04,234,2.4168571328,0.0,0.0389728071065,0.00469483568075,1.0,-0.0,0.0,0.0,normal
1276399821.04,252,2.86326521744,0.0,0.0482920524083,0.004329004329,1.0,-0.0,0.0,0.0,normal
1276399866.04,235,1.85807834443,0.0,0.0260954407201,0.00467289719626,1.0,-0.0,0.0,0.0,normal
1276399911.04,221,2.03427683972,0.0,0.0416559405182,0.005,1.0,-0.0,0.0,0.0,normal
1276399956.04,213,1.93823456523,0.0,0.0295104959515,0.00520833333333,1.0,-0.0,0.0,0.0,normal
1276400001.04,205,2.41979015879,0.0,0.0405631277657,0.0054347826087,1.0,-0.0,0.0,0.0,normal
1276400046.04,213,1.57719357323,0.0,0.0228734310497,0.00520833333333,1.0,-0.0,0.0,0.0,normal
1276400091.04,195,2.10764768164,0.0,0.0264548031866,0.00574712643678,1.0,-0.0,0.0,0.0,normal
1276400136.04,185,2.48565606953,0.0,0.0552821147097,0.00609756097561,1.0,-0.0,0.0,0.0,normal
1276400181.04,181,2.15389056066,0.0,0.0243696497339,0.00625,1.0,-0.0,0.0,0.0,normal
1276400226.04,153,1.83066771977,0.0,0.0,0.00757575757576,1.0,-0.0,0.0,0.0,normal
1276400271.04,180,2.32092528006,0.0,0.0516902772985,0.0062893081761,1.0,-0.0,0.0,0.0,normal
1276400316.04,165,2.03628941644,0.0,0.039917372171,0.00694444444444,1.0,-0.0,0.0,0.0,normal
1276400361.04,166,1.77550334424,0.0,0.0239858959545,0.00689655172414,1.0,-0.0,0.0,0.0,normal
1276400406.04,179,2.22536398221,0.0,0.0213886251234,0.00632911392405,1.0,-0.0,0.0,0.0,normal
1276400451.04,164,1.66529238641,0.0,0.000148319472417,0.00699300699301,1.0,-0.0,0.0,0.0,normal
1276400496.04,185,1.89286377686,0.0,0.0308403032277,0.00609756097561,1.0,-0.0,0.0,0.0,normal
1276400541.04,192,2.22104836528,0.0,0.0467927692264,0.00584795321637,1.0,-0.0,0.0,0.0,normal
1276400586.04,185,1.1950756954,0.0,0.0148410970028,0.00609756097561,1.0,-0.0,0.0,0.0,normal
1276400631.04,185,1.9506015207,0.0,0.0380807457942,0.00609756097561,1.0,-0.0,0.0,0.0,normal
